"Identifier","Identifier ARK","Collection#1","Title#1","Non Sort#1","Subtitle#1","Alternate Title#1$3","Alternate Title#1$2","Alternate Title#1$1","Alternate Title#1$4","Alternate Title#1","Uniform Title#1","Name Part#1","Name Part Date#1","Name Authority#1","Name Type#1","Name Role Term Text#1","Name Part#10","Name Part Date#10","Name Authority#10","Name Type#10","Name Role Term Text#10","Name Part#11","Name Authority#11","Name Type#11","Name Role Term Text#11","Name Part#2","Name Part Date#2","Name Authority#2","Name Type#2","Name Role Term Text#2$2","Name Role Term Text#2$1","Name Role Term Text#2","Name Part#3","Name Part Date#3","Name Authority#3","Name Type#3","Name Role Term Text#3","Name Part#4","Name Part Date#4","Name Authority#4","Name Type#4","Name Role Term Text#4","Name Part#5","Name Part Date#5","Name Authority#5","Name Type#5","Name Role Term Text#5","Name Part#6","Name Part Date#6","Name Authority#6","Name Type#6","Name Role Term Text#6","Name Part#7","Name Part Date#7","Name Authority#7","Name Type#7","Name Role Term Text#7","Name Part#8","Name Part Date#8","Name Authority#8","Name Type#8","Name Role Term Text#8","Name Part#9","Name Part Date#9","Name Authority#9","Name Type#9","Name Role Term Text#9","Language Term#1$2","Language Term#1$1","Language Term#1","Language Term Code#1$1","Language Term Code#1$2","Language Term Code#1","Language Term Code Authority#1","Form#1","Form Authority#1","Digital Origin#1","Internet Media Type#1","Extent#1","Abstract#1","Note#1","Note Type#1","Note#2","Note Type#2","Note#3","Note#4","Type of Resource#1","Access Condition#1","Issuance#1","Edition#1","Date Issued#1","Publisher#1","Publisher#1$1","Publisher#1$2","Place Term#1","Place Term#1$1","Place Term#1$2","Date Captured#1","Issuance#2","Date Issued#2","Publisher#2","Place Term#2","Date Captured#2","Subject Topic#1","Subject Authority#1","Subject Topic#2","Subject Authority#2","Classification#1","Classification Authority#1","Physical Location#1","SubLocation#1","Name Part (technical)#1","Name Description (technical)#1","Related Item Type#1","Related Item Identifier#1","Related Item Identifier URI#1","Host Book Non Sort#1","Host Book Title#1","Host Book Subtitle#1","Host Book Alternative Title#1$1","Host Book Alternative Title#1$2","Host Book Uniform Title#1","Host Book Name Part#1","Host Book Name Part Date#1","Host Book Name Authority#1","Host Book Name Type#1","Host Book Name Role Term Text#1","Host Book Name Part#2","Host Book Name Part Date#2","Host Book Name Authority#2","Host Book Name Type#2","Host Book Name Role Term Text#2","Host Book Name Part#3","Host Book Name Part Date#3","Host Book Name Authority#3","Host Book Name Type#3","Host Book Name Role Term Text#3","Host Book Type of Resource#1","Host Book Place Term#1","Host Book Publisher#1","Host Book Date Issued#1","Host Book Edition#1","Host Book Issuance#1","Host Book Extent#1","Host Book Note#1","Host Book Note Type#1","Host Book Note#2","Host Book Note Type#2","Host Book Note#3","Host Book Note Type#3","Host Book Subject Topic#1","Host Book Subject Authority#1","Host Book Subject Topic#2","Host Book Subject Authority#2","Host Book Classification#1","Host Book Classification Authority#1","Host Book Physical Location#1","Host Book Sublocation#1","Host Book Extent List#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"bellebois.pdf","https://ark.colorado.edu/ark:/47540/pv809041h34b","Once Upon A Time: Historical and Illustrated Fairy Tales","Belle au bois dormant","La","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","French","","","fre","iso639-2b","electronic","marcform","reformatted digital","tiff","","This volume faithfully reproduces the original edition of 1697. Perrault was still alive at that time (he died in 1703). This small volume was exquisitely bound in gilt gold edged decoration, probably done in the 19th or early 20th century.","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","","","","","","","","","","20090220","","","","","","","","","","","","","","Hicks, Alison","scanning technician","host","b54153396","http://libraries.colorado.edu/record=b5415339~S3","","Histoires, ou, Contes du temps passé","avec des moralitez","Contes de ma mere loye","Contes du temps passé","Contes des fées","Perrault, Charles","1628-1703","naf","personal","Author","","","","","","","","","","","text","[Amsterdam]","[Jaques Desbordes]","1700","Suivant la copie, à Paris","monographic","[8], 175, [1] p. : ill. ; 14 cm. (small 12mo)","par le fils de Monsieur Perreault [sic] de l'Academie françois [sic]","statementOfResponsibility","Contains eight ""Mother Goose"" stories, adding ""Les Fées"" to the seven mentioned by Tchemerzine, cited below, in the first edition","content","Tchemerzine, A. Bibliographie ... d'auteurs français, IX, 180(c)","citation/reference","Fairy tales","lcsh","","","PQ1877.A7 1700","lcc","University of Colorado Libraries","Special Collections Department","p. 1-34","433804","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/bellebois_0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~433804~132667"
"aulnoy1785.pdf","https://ark.colorado.edu/ark:/47540/3477951263s7","Once Upon A Time: Historical and Illustrated Fairy Tales","Cabinet des fees et des genies","Le","","","","","","","","Aulnoy, Madame d' (Marie-Catherine)","1650 or 51-1705","naf","personal","Author","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","French","","","fre","iso639-2b","electronic","marcform","reformatted digital","tiff","","","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","1785","B. LeFrancq","","","Brussels","","","","","","","","","Fairy tales","lcsh","","","","","University of Colorado Libraries","Special Collections Department","Hicks, Alison","scanning technician","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433489","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/aulnoy1785_0005.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~433489~132668"
"nspc_fairytales_Cinderella1904.pdf","https://ark.colorado.edu/ark:/47540/wx017b30m9x0","Once Upon A Time: Historical and Illustrated Fairy Tales","Cinderella, or, The little glass slipper","","","","","","","Little glass slipper","","Unidentified author","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2b","electronic","marcform","reformatted digital","application/pdf","","","Cover title.","general","Special Collections copy Emily Wood Epsteen Collection.","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","1904","McLoughlin Bros.","","","New York","","","2019-04-16","","","","","","Fairy tales","lcsh","Cinderella (Tale)","lcsh","PZ8 .C488 1904","lcc","University of Colorado Libraries","Special Collections Department","CU Digitization Lab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1098899","4662","nspc_fairytales_Cinderella1904","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~1098899~259927"
"b45623326.pdf","https://ark.colorado.edu/ark:/47540/nz3n0r44x7k3","Once Upon A Time: Historical and Illustrated Fairy Tales","Contes des fées","Les","","","","","","","","Aulnoy, Madame d' (Marie-Catherine)","1650 or 51-1705","naf","personal","Author","","","","","","","","","","Clouzier, Antoine","","naf","personal","","","Engraver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","French","","","fre","iso639-2b","electronic","marcform","reformatted digital","tiff","","","Tome premier","numbering","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","1698","Chez Claude Barbin, au Palais, sur le second perron de la Sainte-Chapelle","","","Paris","","","","","","","","","Fairy tales","lcsh","","","PQ1711.A85.C66 1698","lcc","University of Colorado Libraries","Special Collections Department","Hicks, Alison","scanning technician","original","b45623326","http://libraries.colorado.edu/record=b4562332~S3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433498","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/b45623326_0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~433498~132652"
"dornroeschen.pdf","https://ark.colorado.edu/ark:/47540/m3861n3928c7","Once Upon A Time: Historical and Illustrated Fairy Tales","Dornröschen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","German","","","ger","iso639-2b","electronic","marcform","reformatted digital","tiff","","This is the thirty-fourth edition of the Kleine Ausgabe (Small Edition) of the Grimms' fairy tales. First published in 1825, the Kleine Ausgabe was a collection of fifty tales from the Grosse Ausgabe (Large Edition) originally published by the Grimms in two volumes in 1812 and 1815. The original Grosse Ausgabe contained 156 tales and was not immediately popular; for this reason, the streamlined Kleine Ausgabe was published in part to appeal to a broader middle-class audience. Among the tales included in the Kleine Ausgabe are the Grimms' versions of Sleeping Beauty, Snow White, Rumpelstiltskin, and Cinderella.","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","","","","","","","","","","20090220","","","","","","","","","","","","","","Hicks, Alison","scanning technician","host","b43713683","http://libraries.colorado.edu/record=b4371368~S3","","Kinder- und Hausmärchen","gesammelt durch die Brüder Jacob und Wilhelm Grimm","","","","Grimm, Jacob","1785-1863","naf","personal","Author","Grimm, Wilhelm","1786-1859","naf","personal","Author","Grimm, Herman Friedrich","1828-1901","naf","personal","Editor","text","Gütersloh","G. Bertelsmann","1886","34. Aufl. Mit acht Bildern nach Zeichnungen von Paul Meyerheim","monographic","311 p. : ill. ; 15 cm","Hrsg. von Herman Grimm. Kleine Ausg","statementOfResponsibility","","","","","Fairy tales","lcsh","","","PZ34.G7 1886","lcc","University of Colorado Libraries","Special Collections Department","","433764","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/dornroeschen_0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~433764~132669"
"b45974391.pdf","https://ark.colorado.edu/ark:/47540/hg058h16396h","Once Upon A Time: Historical and Illustrated Fairy Tales","English Struwwelpeter","The","pretty stories and funny pictures for little children","","","","","","Struwwelpeter. English","Hoffmann, Heinrich","1809-1894","naf","personal","Author","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2b","electronic","marcform","reformatted digital","tiff","","","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","[between 1848 and 1870?]","Griffith, Farran, Brown & Co.","","","London","","","","","","","","","Children's poetry","lcsh","Children -- Conduct of life","lcsh","372.881.H675sG","ddc","University of Colorado Libraries","Special Collections Department","Hicks, Alison","scanning technician","original","b45974391","http://libraries.colorado.edu/record=b4597439~S3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433499","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/b45974391_0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~433499~132653"
"faerno1741.pdf","https://ark.colorado.edu/ark:/47540/m96j1145z02j","Once Upon A Time: Historical and Illustrated Fairy Tales","Fables in English and French verse","","","","","","","","","Faerno, Gabriello","d. 1561","naf","personal","Author","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","French","","eng","fre","","iso639-2b","electronic","marcform","reformatted digital","tiff","","","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","1741","Claude du Bosc","","","London","","","","","","","","","Fairy tales","lcsh","","","","","University of Colorado Libraries","Special Collections Department","Hicks, Alison","scanning technician","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433487","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/faerno1741_0003.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~433487~132677"
"goodfellow1820.pdf","https://ark.colorado.edu/ark:/47540/982f7p93f438","Once Upon A Time: Historical and Illustrated Fairy Tales","Fairies' Repertory","The","containing choice tales, selected from Mother Bunch, Mother Grim, and Mother Goose","","","","","","","Goodfellow, Robin","fl. 1797","naf","personal","Editor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2b","electronic","marcform","reformatted digital","tiff","","","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","[1820?]","Oliver & Boyd","","","Edinburgh","","","","","","","","","Fairy tales","lcsh","","","","","University of Colorado Libraries","Special Collections Department","Hicks, Alison","scanning technician","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","472605","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/goodfellow1820_0003.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~472605~132664"
"nspc_fairytales_FairyTalesFromFrance.pdf","https://ark.colorado.edu/ark:/47540/nv23975824qs","Once Upon A Time: Historical and Illustrated Fairy Tales","Fairy tales from France","","","","","","","","","Larned, W.T. (William Trowbridge)","","naf","personal","Author","","","","","","","","","","Rae, John","1882-1963","naf","personal","","","Illustrator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2b","electronic","marcform","reformatted digital","application/pdf","","","Special Collections copy Emily Wood Epsteen Collection","general","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","12th ed","1920","P.F. Volland Co.","","","New York","","","2019-04-17","","","","","","Fairy tales","lcsh","","","PZ8 .F1686 1920","lcc","University of Colorado Libraries","Special Collections Department","CU Digitization Lab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1098902","4662","nspc_fairytales_FairyTalesFromFrance.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~1098902~224319"
"nspc_fairytales_EasyWordFairyBook.pdf","https://ark.colorado.edu/ark:/47540/j6510x5766wj","Once Upon A Time: Historical and Illustrated Fairy Tales","Fairy tales in easy-words","","","","","","","Easy word fairy book","","Bloch, Donald Beaty","d. 1984","naf","personal","Former owner","","","","","","","","","","Bloch, Marie Halun","","naf","personal","","","Former owner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2b","electronic","marcform","reformatted digital","application/pdf","","","Pub. date from inscription.","general","Table of Contents: Cinderella -- Jack and the beanstalk -- Little Red Riding Hood -- Aladdin or the wonderful lamp -- Puss in Boots -- Goody Two Shoes -- Tom Thumb -- Beauty and the beast -- Ali Baba or the 40 Thieves","table of contents","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","[1923?]","McLoughlin Brothers, Inc. ","","","Springfield, Mass.","","","2019-04-18","","","","","","Fairy tales","lcsh","","","PZ8 .F1687 1923","lcc","University of Colorado Libraries","Special Collections Department","CU Digitization Lab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1098901","4662","nspc_fairytales_EasyWordFairyBook.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~1098901~224321"
"b13518252.pdf","https://ark.colorado.edu/ark:/47540/v6710s6324rp","Once Upon A Time: Historical and Illustrated Fairy Tales","Fairy tales of the Slav peasants and herdsmen","","","","","","","","","Chodźko, Alexander","1804-1891","naf","personal","Author","","","","","","","","","","Harding, Emily J","","naf","personal","Illustrator","Translator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2b","electronic","marcform","reformatted digital","tiff","","","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","1896","G. Allen","","","London","","","","","","","","","Fairy tales","lcsh","","","PZ8.C432.F3 1896","lcc","University of Colorado Libraries","Special Collections Department","Hicks, Alison","scanning technician","original","b13518252","http://libraries.colorado.edu/record=b1351825~S3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433484","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/b13518252_0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~433484~132665"
"caumontdelaforce1707.pdf","https://ark.colorado.edu/ark:/47540/nt783s3483bd","Once Upon A Time: Historical and Illustrated Fairy Tales","Fees","Les","Contes des contes","","","","","","","Mademoiselle de La Force","","","personal","Author","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","French","","","fre","iso639-2b","electronic","marcform","reformatted digital","tiff","","","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","1707","Medard Brunet","","","Paris","","","","","","","","","Fairy tales","lcsh","","","","","University of Colorado Libraries","Special Collections Department","Hicks, Alison","scanning technician","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433488","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/caumontdelaforce1707_0003.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~433488~132676"
"nspc_fairytales_CruikshanksFairyLibrary.pdf","https://ark.colorado.edu/ark:/47540/xf096g06x1f0","Once Upon A Time: Historical and Illustrated Fairy Tales","George Cruikshank's fairy library","","Hop o' my thumb. Jack & the bean-stalk. Cinderella. Puss in boots.","Cinderella","Hop o' my thumb","Jack and the bean-stalk","Puss in Boots","","","Cruikshank, George","1792-1878","naf","personal","Author","","","","","","","","","","Arnold, Frederick","active 1865","naf","","","","Publisher","Harrild, Robert","active 1802-1853","naf","","Printer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2","electronic","marcform","reformatted digital","application/pdf","4 unnumbered pages, 30, 32, 31, 40 pages, 24 unnumbered leaves of plates : illustrations ; 19 cm","","Fly-titles.","","Illustrated with etchings including frontispiece.","","Undated. Approximate date from examination of materials and styles.","Wood-engraved title page.","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materials whether in part or as an aggregation to the extent permitted by law.","monographic","","[between 1870 and 1879?]","George Routledge & Sons","","","[London]","","","","monographic","[between 1870 and 1879?]","F. Arnold, 86, Fleet Street","[London]","","Children's books","lcsh","Fairy tales","lcsh","Creamer 113","local","University of Colorado Libraries","Special Collections Department","CU Digitization Lab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1098909","4687","nspc_fairytales_CruikshanksFairyLibrary.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~1098909~226797"
"nspc_fairytales_GermanPopularTales","https://ark.colorado.edu/ark:/47540/1s482847j73d","Once Upon A Time: Historical and Illustrated Fairy Tales","Golden bird","The","and other fairy tales","","","","","German popular tales","","Grimm, Jacob","1785-1863","naf","personal","Author","","","","","","","","","","Grimm, Wilhelm","1786-1859","naf","personal","","","Author","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2b","electronic","marcform","reformatted digital","tiff","","","Added ill. title page with title within ornamental border","general","On cover: German popular tales","general","","","text","","monographic","","1877","J. Miller","","","New York","","","","","","","","","Fairy tales","lcsh","","","PZ8.G882.G6 1877","lcc","University of Colorado Libraries","Special Collections Department","","","original","b43713658","http://libraries.colorado.edu/record=b4371365~S3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1098824","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1956/nspc_fairytales_GermanPopularTales_0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~1098824~141465"
"Grimm1900.pdf","https://ark.colorado.edu/ark:/47540/8g389w5354xn","Once Upon A Time: Historical and Illustrated Fairy Tales","Grimm's fairy tales","","","","","","","","","Grimm, Jacob","1785-1863","naf","personal","Author","","","","","","","","","","Grimm, Wilhelm","1786-1859","naf","personal","","","Author","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","eng","iso639-2b","electronic","marcform","reformatted digital","tiff","","","","","","","","","text","Material is in the public domain. However the holding institution may assert copyright for the digitized objects, underlying encoded text, selection, indexing, organization, and display of materialswhether in part or as an aggregationto the extent permitted by law.","monographic","","[1900?]","[s.n.]","","","[S.l.]","","","","","","","","","Fairy tales","lcsh","","","","","University of Colorado Libraries","Special Collections Department","Hicks, Alison","scanning technician","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","472668","4837","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-53-NA/1625/Grimm1900_0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~53~53~472668~132663"
